month_year,heat_violation_counts
1-2024,229
2-2021,169
1-2019,166
1-2022,143
12-2022,130
11-2019,126
2-2019,113
1-2020,70
11-2021,67
10-2019,66
11-2023,63
11-2022,62
12-2019,54
3-2019,50
1-2023,49
12-2021,48
2-2023,45
10-2022,45
12-2020,44
12-2023,44
2-2020,41
10-2020,40
10-2023,39
10-2021,38
2-2022,37
11-2020,33
1-2021,25
3-2021,25
3-2022,25
4-2021,23
3-2020,23
4-2019,21
3-2024,19
4-2022,17
5-2019,15
2-2024,12
3-2023,10
4-2024,10
5-2021,9
5-2023,6
4-2023,5
5-2022,4
9-2022,4
9-2020,3
9-2019,2
9-2021,2
6-2022,1
7-2019,1
8-2023,1
9-2023,1
